split,model,amount,level,metric,value,pvalue
3,SOMOS,10,Utterance,KTAU,0.4750542563885169,1.9223890787582288e-13
3,SOMOS,10,System,LCC,0.8398539423144883,0.0012163637222199
3,SOMOS,10,System,SRCC,-0.0727272727272727,0.831716405381337
3,SOMOS,10,System,KTAU,-0.0909090909090909,0.7611503928170594
3,SOMOS,20,Utterance,MSE,0.4512867946199082,NaN
3,SOMOS,20,System,MSE,0.3786118066335101,NaN
3,SOMOS,20,Utterance,LCC,0.7050984796025818,8.111401832385863e-18
3,SOMOS,20,Utterance,SRCC,0.7008471099814676,1.5443933585814822e-17
3,SOMOS,20,Utterance,KTAU,0.5171033159634751,1.1944095311625198e-15
3,SOMOS,20,System,LCC,0.7106052813668428,0.0142488043145669
3,SOMOS,20,System,SRCC,0.1090909090909091,0.7495085962341482
3,SOMOS,20,System,KTAU,0.0909090909090909,0.7611503928170594
3,SOMOS,30,Utterance,MSE,0.2710944667817885,NaN
3,SOMOS,30,System,MSE,0.1874243301602997,NaN
3,SOMOS,30,Utterance,LCC,0.809685321557054,9.460739043705412e-27
3,SOMOS,30,Utterance,SRCC,0.7669252929581001,1.5533427956222585e-22
3,SOMOS,30,Utterance,KTAU,0.5661605521342599,1.876776108197408e-18
3,SOMOS,30,System,LCC,0.8610776495645497,0.000662503611653
3,SOMOS,30,System,SRCC,0.2636363636363636,0.4334407376116145
3,SOMOS,30,System,KTAU,0.2,0.4453821448613115
3,SOMOS,40,Utterance,MSE,0.2351138522115701,NaN
3,SOMOS,40,System,MSE,0.1581653301791547,NaN
3,SOMOS,40,Utterance,LCC,0.827358025678948,8.111668585668086e-29
3,SOMOS,40,Utterance,SRCC,0.7767263415895526,2.0329623362417745e-23
3,SOMOS,40,Utterance,KTAU,0.5838478549713456,1.5917599710158004e-19
3,SOMOS,40,System,LCC,0.8724611148684386,0.0004587253846173
3,SOMOS,40,System,SRCC,0.1454545454545454,0.6695786456420787
3,SOMOS,40,System,KTAU,0.0909090909090909,0.7611503928170594
3,BVCC-SOMOS,0,Utterance,MSE,0.7255623157128215,NaN
3,BVCC-SOMOS,0,System,MSE,0.3330929197529085,NaN
3,BVCC-SOMOS,0,Utterance,LCC,0.1130508680128616,0.2396280803012323
3,BVCC-SOMOS,0,Utterance,SRCC,0.1083615477946606,0.2598082727131443
3,BVCC-SOMOS,0,Utterance,KTAU,0.0742532996462557,0.2503583390590522
3,BVCC-SOMOS,0,System,LCC,0.4107619547822081,0.2095015344209268
3,BVCC-SOMOS,0,System,SRCC,0.5636363636363637,0.0709517344763753
3,BVCC-SOMOS,0,System,KTAU,0.4181818181818181,0.0865612473945807
3,BVCC-SOMOS,10,Utterance,MSE,0.3718522426485199,NaN
3,BVCC-SOMOS,10,System,MSE,0.1641695197636956,NaN
3,BVCC-SOMOS,10,Utterance,LCC,0.68739248280532,1.1024363432704424e-16
3,BVCC-SOMOS,10,Utterance,SRCC,0.6593301565099653,4.8141274992950404e-15
3,BVCC-SOMOS,10,Utterance,KTAU,0.4907392230553664,3.0331642799680053e-14
3,BVCC-SOMOS,10,System,LCC,0.8575635047098807,0.0007374010773517
3,BVCC-SOMOS,10,System,SRCC,0.2181818181818182,0.519248247554982
3,BVCC-SOMOS,10,System,KTAU,0.0909090909090909,0.7611503928170594
3,BVCC-SOMOS,20,Utterance,MSE,0.3273308515426402,NaN
3,BVCC-SOMOS,20,System,MSE,0.2327336923336873,NaN
3,BVCC-SOMOS,20,Utterance,LCC,0.7553446740266583,1.515920650650399e-21
3,BVCC-SOMOS,20,Utterance,SRCC,0.7334691835312331,8.078761011178113e-20
3,BVCC-SOMOS,20,Utterance,KTAU,0.5501418627723711,1.644756618780048e-17
3,BVCC-SOMOS,20,System,LCC,0.7583914585093446,0.0068236445956886
3,BVCC-SOMOS,20,System,SRCC,0.1272727272727273,0.7092146257733047
3,BVCC-SOMOS,20,System,KTAU,0.0545454545454545,0.8792698312489979
3,BVCC-SOMOS,30,Utterance,MSE,0.1933402093341609,NaN
3,BVCC-SOMOS,30,System,MSE,0.100949148476239,NaN
3,BVCC-SOMOS,30,Utterance,LCC,0.8525200393012118,3.332931978038204e-32
3,BVCC-SOMOS,30,Utterance,SRCC,0.7998088480260921,1.094682602639496e-25
3,BVCC-SOMOS,30,Utterance,KTAU,0.6118805613546511,2.739393596079119e-21
3,BVCC-SOMOS,30,System,LCC,0.8659737667446962,0.0005679041322367
3,BVCC-SOMOS,30,System,SRCC,0.3363636363636363,0.3118243139003862
3,BVCC-SOMOS,30,System,KTAU,0.2727272727272727,0.2829668209876543
3,BVCC-SOMOS,40,Utterance,MSE,0.1833612724941529,NaN
3,BVCC-SOMOS,40,System,MSE,0.0963088807981946,NaN
3,BVCC-SOMOS,40,Utterance,LCC,0.8576279971287524,5.730809600246126e-33
3,BVCC-SOMOS,40,Utterance,SRCC,0.8101508929021509,8.399889118474917e-27
3,BVCC-SOMOS,40,Utterance,KTAU,0.6302353095818154,1.7324855623241754e-22
3,BVCC-SOMOS,40,System,LCC,0.8846069369259836,0.0002977690592441
3,BVCC-SOMOS,40,System,SRCC,0.1818181818181818,0.5926152128455
3,BVCC-SOMOS,40,System,KTAU,0.0909090909090909,0.7611503928170594
4,BVCC,0,Utterance,MSE,0.949113736777325,NaN
4,BVCC,0,System,MSE,0.5038893540773941,NaN
4,BVCC,0,Utterance,LCC,-0.0680890084968705,0.479699093466392
4,BVCC,0,Utterance,SRCC,-0.087064917745041,0.3657662358486921
4,BVCC,0,Utterance,KTAU,-0.0572429978287,0.3756115255411368
4,BVCC,0,System,LCC,-0.0833778623617035,0.8074451059938798
4,BVCC,0,System,SRCC,0.1454545454545454,0.6695786456420787
4,BVCC,0,System,KTAU,0.1272727272727273,0.6480954385121052
4,BVCC,10,Utterance,MSE,0.452966711402754,NaN
4,BVCC,10,System,MSE,0.2300107755213366,NaN
4,BVCC,10,Utterance,LCC,0.5804720667150781,2.9961444392866665e-11
4,BVCC,10,Utterance,SRCC,0.5970339681057394,5.8186442007550656e-12
4,BVCC,10,Utterance,KTAU,0.4130507860817274,1.624186738481571e-10
4,BVCC,10,System,LCC,0.7757950015215268,0.005009056918446
4,BVCC,10,System,SRCC,0.6545454545454547,0.0288645989570018
4,BVCC,10,System,KTAU,0.4909090909090909,0.0405323573031906
4,BVCC,20,Utterance,MSE,0.2592602805298058,NaN
4,BVCC,20,System,MSE,0.1323359380376774,NaN
