#,Study,Arch.,Pipeline (basis),Implementation,Mono/multi,Input type,Model note,Source lang family,Source lang,Total source lang (min),Total source lang (utterances),Source data,Target lang family,Target lang,Target lang (minutes),Target lang (utterances),Target data,Combined data,Data rate (target/combied),Metric,Criterion,Type,Value
650,N,DNN,,,Multi,,ID,,37 languages,48000.0,,2304.0,Slavic,Ukrainian,x,2000.0,20.0,2324.0,0.008605851979345954,MOS,Naturalness/overall quality,S,3.48
651,N,DNN,,,Multi,,IF,,37 languages,48000.0,,2304.0,Slavic,Ukrainian,x,2000.0,20.0,2324.0,0.008605851979345954,MOS,Naturalness/overall quality,S,3.48
652,N,DNN,,,Multi,,IM,,37 languages,48000.0,,2304.0,Slavic,Ukrainian,x,2000.0,20.0,2324.0,0.008605851979345954,MOS,Naturalness/overall quality,S,3.17
653,N,DNN,,,Multi,,IC,,37 languages,48000.0,,2304.0,Slavic,Ukrainian,x,2000.0,20.0,2324.0,0.008605851979345954,MOS,Naturalness/overall quality,S,3.41
654,N,DNN,,,Multi,,IS,,37 languages,48000.0,,2304.0,Slavic,Ukrainian,x,2000.0,20.0,2324.0,0.008605851979345954,MOS,Naturalness/overall quality,S,3.41
655,N,DNN,,,Mono,,,,,,,0.0,Indo-Aryan,Bengali,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,3.63
656,N,DNN,,,Mono,,,,,,,0.0,Indo-Aryan,Marathi,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,1.26
657,N,DNN,,,Mono,,,,,,,0.0,Dravidian,Tamil,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,2.65
658,N,DNN,,,Mono,,,,,,,0.0,Dravidian,Telugu,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,3.26
659,N,DNN,,,Mono,,,,,,,0.0,Finno-Ugric,Estonian,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,3.78
660,N,DNN,,,Mono,,,,,,,0.0,Germanic,Icelandic,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,3.07
661,N,DNN,,,Mono,,,,,,,0.0,Baltic,Lithuanian,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,1.85
662,N,DNN,,,Mono,,,,,,,0.0,Slavic,Slovak,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,4.05
663,N,DNN,,,Mono,,,,,,,0.0,Slavic,Ukrainian,,2000.0,20.0,20.0,1.0,MOS,Naturalness/overall quality,S,3.75
664,O,HMM,,,Mono,,,,,,,0.0,,English,,550.0,5.5,5.5,1.0,LSD,Acoustics,O,5.16
665,O,DNN,,,Mono,,,,,,,0.0,,English,,550.0,5.5,5.5,1.0,LSD,Acoustics,O,7.23
666,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,550.0,5.5,25.5,0.21568627450980393,LSD,Acoustics,O,5.94
667,O,DNN,,,Multi,,,,Cantonese,,2000,20.0,,English,,550.0,5.5,25.5,0.21568627450980393,LSD,Acoustics,O,5.84
668,O,HMM,,,Mono,,,,,,,0.0,,English,,550.0,5.5,5.5,1.0,V/UV,Acoustics,O,7.9
669,O,DNN,,,Mono,,,,,,,0.0,,English,,550.0,5.5,5.5,1.0,V/UV,Acoustics,O,11.3
670,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,550.0,5.5,25.5,0.21568627450980393,V/UV,Acoustics,O,8.9
671,O,DNN,,,Multi,,,,Cantonese,,2000,20.0,,English,,550.0,5.5,25.5,0.21568627450980393,V/UV,Acoustics,O,9.1
672,O,HMM,,,Mono,,,,,,,0.0,,English,,550.0,5.5,5.5,1.0,F0 RMSE,Acoustics,O,21.3
673,O,DNN,,,Mono,,,,,,,0.0,,English,,550.0,5.5,5.5,1.0,F0 RMSE,Acoustics,O,29.3
674,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,550.0,5.5,25.5,0.21568627450980393,F0 RMSE,Acoustics,O,22.5
675,O,DNN,,,Multi,,,,Cantonese,,2000,20.0,,English,,550.0,5.5,25.5,0.21568627450980393,F0 RMSE,Acoustics,O,23.1
676,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,550.0,5.5,25.5,0.21568627450980393,A/B Preference,Overall quality,S,0.43
677,O,DNN,,,Mono,,,,,,,0.0,,English,,550.0,5.5,5.5,1.0,A/B Preference,Overall quality,S,0.32
678,O,DNN,,,Multi,,,,Cantonese,,2000,20.0,,English,,550.0,5.5,25.5,0.21568627450980393,A/B Preference,Overall quality,S,0.47
679,O,DNN,,,Mono,,,,,,,0.0,,English,,550.0,5.5,5.5,1.0,A/B Preference,Overall quality,S,0.3
680,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,250.0,2.5,22.5,0.1111111111111111,LSD,Acoustics,O,6.89
681,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,200.0,2.0,22.0,0.09090909090909091,LSD,Acoustics,O,7.29
682,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,150.0,1.5,21.5,0.06976744186046512,LSD,Acoustics,O,8.17
683,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,120.0,1.2,21.2,0.05660377358490566,LSD,Acoustics,O,9.23
684,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,100.0,1.0,21.0,0.047619047619047616,LSD,Acoustics,O,9.81
685,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,250.0,2.5,22.5,0.1111111111111111,V/UV,Acoustics,O,9.7
686,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,200.0,2.0,22.0,0.09090909090909091,V/UV,Acoustics,O,11.2
687,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,150.0,1.5,21.5,0.06976744186046512,V/UV,Acoustics,O,12.1
688,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,120.0,1.2,21.2,0.05660377358490566,V/UV,Acoustics,O,12.9
689,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,100.0,1.0,21.0,0.047619047619047616,V/UV,Acoustics,O,13.5
690,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,250.0,2.5,22.5,0.1111111111111111,F0 RMSE,Acoustics,O,25.9
691,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,200.0,2.0,22.0,0.09090909090909091,F0 RMSE,Acoustics,O,28.5
692,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,150.0,1.5,21.5,0.06976744186046512,F0 RMSE,Acoustics,O,30.2
693,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,120.0,1.2,21.2,0.05660377358490566,F0 RMSE,Acoustics,O,33.5
694,O,DNN,,,Multi,,,,Mandarin,,2000,20.0,,English,,100.0,1.0,21.0,0.047619047619047616,F0 RMSE,Acoustics,O,35.2
695,P,HSMM,,,Multi,,Baseline CSMAPLR,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.06
696,P,HSMM,,,Multi,,Proposed CSMAPLR,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.055
697,P,HSMM,,,Multi,,Baseline CMLLR,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.06
698,P,HSMM,,,Multi,,Proposed CMLLR,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.055
699,P,HSMM,,,Multi,,Baseline CSMAPLR,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.056
700,P,HSMM,,,Multi,,Proposed CSMAPLR,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.053
701,P,HSMM,,,Multi,,Baseline CMLLR,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.056
702,P,HSMM,,,Multi,,Proposed CMLLR,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.053
703,P,HSMM,,,Multi,,Baseline CSMAPLR,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.057
704,P,HSMM,,,Multi,,Proposed CSMAPLR,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.052
705,P,HSMM,,,Multi,,Baseline CMLLR,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.058
706,P,HSMM,,,Multi,,Proposed CMLLR,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.052
707,P,HSMM,,,Multi,,Baseline CSMAPLR,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.22
708,P,HSMM,,,Multi,,Proposed CSMAPLR,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.09
709,P,HSMM,,,Multi,,Baseline CMLLR,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.18
710,P,HSMM,,,Multi,,Proposed CMLLR,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.1
711,P,HSMM,,,Multi,,Baseline CSMAPLR,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.21
712,P,HSMM,,,Multi,,Proposed CSMAPLR,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.08
713,P,HSMM,,,Multi,,Baseline CMLLR,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.2
714,P,HSMM,,,Multi,,Proposed CMLLR,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.085
715,P,HSMM,,,Multi,,Baseline CSMAPLR,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.21
716,P,HSMM,,,Multi,,Proposed CSMAPLR,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.07
717,P,HSMM,,,Multi,,Baseline CMLLR,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.19
718,P,HSMM,,,Multi,,Proposed CMLLR,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.075
719,P,HSMM,,,Multi,,Baseline,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.06
720,P,HSMM,,,Multi,,Proposed SM,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.055
721,P,HSMM,,,Multi,,L2NN,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.04
722,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.0345
723,P,HSMM,,,Multi,,eigenEn 2PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.032
724,P,HSMM,,,Multi,,WLS 3PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.0345
725,P,HSMM,,,Multi,,eigenEn 3PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.032
726,P,HSMM,,,Multi,,WLS 10PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.0345
727,P,HSMM,,,Multi,,eigenEn 10PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,MGC RMSE,Acoustics,O,0.03
