#,Study,Arch.,Pipeline (basis),Implementation,Mono/multi,Input type,Model note,Source lang family,Source lang,Total source lang (min),Total source lang (utterances),Source data,Target lang family,Target lang,Target lang (minutes),Target lang (utterances),Target data,Combined data,Data rate (target/combied),Metric,Criterion,Type,Value
775,P,HSMM,,,Multi,,baseline,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,A/B Preference,Overall quality,S,0.2
776,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,A/B Preference,Overall quality,S,0.55
777,P,HSMM,,,Multi,,baseline,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,A/B Preference,Overall quality,S,0.1
778,P,HSMM,,,Multi,,proposed SM,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,A/B Preference,Overall quality,S,0.78
779,P,HSMM,,,Multi,,baseline,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,A/B Preference,Overall quality,S,0.29
780,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,A/B Preference,Overall quality,S,0.51
781,P,HSMM,,,Multi,,baseline,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,A/B Preference,Overall quality,S,0.05
782,P,HSMM,,,Multi,,proposed SM,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,A/B Preference,Overall quality,S,0.78
783,P,HSMM,,,Multi,,baseline,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,A/B Preference,Overall quality,S,0.3
784,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,A/B Preference,Overall quality,S,0.41
785,Q,DNN,,,Mono,,baseline,,,,,0.0,,US English,,35493.0,354.93,354.93,1.0,MSE,Acoustics,O,27
