Text to synthesize,Speaker ID,Synthesized speech,flag,username,timestamp
ˈɪ t v ˈi ə ˈaː d ə x ˈo m j ˈoː t ˈə t r ˈɛ f ə punc-comma ˈo ə n t s j ˈɛ n punc-emark,24,flagged/Synthesized speech/983be4bd7f0f62b57aec/audio.wav,,,2024-11-12 18:10:50.362052
ˈo ə n t s j ˈɛ n punc-emark,4,flagged/Synthesized speech/d44670e34399ea9a97fe/audio.wav,,,2024-11-14 10:17:29.499949
